run_parallelFalsecfg{'device': device(type='cuda'), 'learning_rate': 0.001, 'learning_rate_decay': 0.3, 'last_observe': 20, 'epochs': 12, 'print_every': 100, 'save_every': 5, 'batch_size': 1, 'data_locate': '/home/pinkman/PycharmProjects/map_encoder/data_process/trajectory/train', 'save_path': './model_ckpt/', 'log_file': 'runs/log.txt', 'tensorboard_path': 'runs/train_visualization'}
Start Training...
Epoch 1/12: Iteration 0, loss = 46.420792
Epoch 1/12: Iteration 100, loss = 0.470898
Epoch 1/12: Iteration 200, loss = 23.322519
Epoch 1/12: Iteration 300, loss = 16.403282
Epoch 1/12: Iteration 400, loss = 0.929369
Epoch 1/12: Iteration 500, loss = 26.641964
Epoch 1/12: Iteration 600, loss = 2.091154
Epoch 1/12: Iteration 700, loss = 1.620668
Epoch 1/12: Iteration 800, loss = 2.740386
Epoch 1/12: Iteration 900, loss = 4.423935
Epoch 1/12: Iteration 1000, loss = 9.891341
Epoch 1/12: Iteration 1100, loss = 0.153681
Epoch 1/12: Iteration 1200, loss = 1.689846
Epoch 1/12: Iteration 1300, loss = 1.091695
Epoch 1/12: Iteration 1400, loss = 10.893833
Epoch 1/12: Iteration 1500, loss = 5.679653
Epoch 1/12: Iteration 1600, loss = 0.245306
Epoch 1/12: Iteration 1700, loss = 0.703341
Epoch 1/12: Iteration 1800, loss = 0.795705
Epoch 1/12: Iteration 1900, loss = 0.324724
Epoch 1/12: Iteration 2000, loss = 3.936778
Epoch 1/12: Iteration 2100, loss = 1.349201
Epoch 1/12: Iteration 2200, loss = 0.427997
Epoch 1/12: Iteration 2300, loss = 0.981670
Epoch 1/12: Iteration 2400, loss = 5.766004
Epoch 1/12: Iteration 2500, loss = 4.418707
Epoch 1/12: Iteration 2600, loss = 35.215370
Epoch 1/12: Iteration 2700, loss = 1.545992
Epoch 1/12: Iteration 2800, loss = 0.414402
Epoch 1/12: Iteration 2900, loss = 0.842647
Epoch 1/12: Iteration 3000, loss = 0.505612
Epoch 1/12: Iteration 3100, loss = 0.647819
Epoch 1/12: Iteration 3200, loss = 9.366732
Epoch 1/12: Iteration 3300, loss = 6.915207
Epoch 1/12: Iteration 3400, loss = 0.692710
Epoch 2/12: Iteration 0, loss = 3.428944
Epoch 2/12: Iteration 100, loss = 7.239184
Epoch 2/12: Iteration 200, loss = 6.512942
Epoch 2/12: Iteration 300, loss = 21.776104
Epoch 2/12: Iteration 400, loss = 0.083973
Epoch 2/12: Iteration 500, loss = 14.961004
Epoch 2/12: Iteration 600, loss = 0.623086
Epoch 2/12: Iteration 700, loss = 0.853827
Epoch 2/12: Iteration 800, loss = 1.478936
Epoch 2/12: Iteration 900, loss = 2.616074
Epoch 2/12: Iteration 1000, loss = 17.497318
Epoch 2/12: Iteration 1100, loss = 0.060076
Epoch 2/12: Iteration 1200, loss = 2.720810
Epoch 2/12: Iteration 1300, loss = 2.892458
Epoch 2/12: Iteration 1400, loss = 12.054455
Epoch 2/12: Iteration 1500, loss = 2.519743
Epoch 2/12: Iteration 1600, loss = 0.234040
Epoch 2/12: Iteration 1700, loss = 0.857945
Epoch 2/12: Iteration 1800, loss = 1.050000
Epoch 2/12: Iteration 1900, loss = 0.547212
Epoch 2/12: Iteration 2000, loss = 14.163305
Epoch 2/12: Iteration 2100, loss = 5.674038
Epoch 2/12: Iteration 2200, loss = 0.663423
Epoch 2/12: Iteration 2300, loss = 1.425851
Epoch 2/12: Iteration 2400, loss = 4.787155
Epoch 2/12: Iteration 2500, loss = 7.012493
Epoch 2/12: Iteration 2600, loss = 6.194284
Epoch 2/12: Iteration 2700, loss = 0.809168
Epoch 2/12: Iteration 2800, loss = 0.266576
Epoch 2/12: Iteration 2900, loss = 0.622127
Epoch 2/12: Iteration 3000, loss = 0.534344
Epoch 2/12: Iteration 3100, loss = 0.643809
Epoch 2/12: Iteration 3200, loss = 11.101820
Epoch 2/12: Iteration 3300, loss = 4.999242
Epoch 2/12: Iteration 3400, loss = 0.485277
Epoch 3/12: Iteration 0, loss = 2.285047
Epoch 3/12: Iteration 100, loss = 3.041535
Epoch 3/12: Iteration 200, loss = 4.452297
Epoch 3/12: Iteration 300, loss = 19.625982
Epoch 3/12: Iteration 400, loss = 0.149521
Epoch 3/12: Iteration 500, loss = 3.356469
Epoch 3/12: Iteration 600, loss = 0.779466
Epoch 3/12: Iteration 700, loss = 0.952822
Epoch 3/12: Iteration 800, loss = 3.788489
Epoch 3/12: Iteration 900, loss = 1.127306
Epoch 3/12: Iteration 1000, loss = 13.434948
Epoch 3/12: Iteration 1100, loss = 0.099961
Epoch 3/12: Iteration 1200, loss = 5.119900
Epoch 3/12: Iteration 1300, loss = 2.832977
Epoch 3/12: Iteration 1400, loss = 9.689434
Epoch 3/12: Iteration 1500, loss = 2.451473
Epoch 3/12: Iteration 1600, loss = 0.269836
Epoch 3/12: Iteration 1700, loss = 0.366853
Epoch 3/12: Iteration 1800, loss = 1.199270
Epoch 3/12: Iteration 1900, loss = 0.753117
Epoch 3/12: Iteration 2000, loss = 0.279295
Epoch 3/12: Iteration 2100, loss = 2.602980
Epoch 3/12: Iteration 2200, loss = 0.634850
Epoch 3/12: Iteration 2300, loss = 1.069970
Epoch 3/12: Iteration 2400, loss = 4.060884
Epoch 3/12: Iteration 2500, loss = 4.143908
Epoch 3/12: Iteration 2600, loss = 0.887307
Epoch 3/12: Iteration 2700, loss = 0.464760
Epoch 3/12: Iteration 2800, loss = 0.370746
Epoch 3/12: Iteration 2900, loss = 0.487986
Epoch 3/12: Iteration 3000, loss = 0.468074
Epoch 3/12: Iteration 3100, loss = 0.342781
Epoch 3/12: Iteration 3200, loss = 10.671734
Epoch 3/12: Iteration 3300, loss = 3.881508
Epoch 3/12: Iteration 3400, loss = 0.615973
Epoch 4/12: Iteration 0, loss = 2.135327
Epoch 4/12: Iteration 100, loss = 5.729512
Epoch 4/12: Iteration 200, loss = 2.402077
Epoch 4/12: Iteration 300, loss = 18.755161
Epoch 4/12: Iteration 400, loss = 0.024094
Epoch 4/12: Iteration 500, loss = 2.305146
Epoch 4/12: Iteration 600, loss = 0.656061
Epoch 4/12: Iteration 700, loss = 0.614064
Epoch 4/12: Iteration 800, loss = 4.405375
Epoch 4/12: Iteration 900, loss = 1.624341
Epoch 4/12: Iteration 1000, loss = 18.841211
Epoch 4/12: Iteration 1100, loss = 0.168935
Epoch 4/12: Iteration 1200, loss = 3.239521
Epoch 4/12: Iteration 1300, loss = 2.144704
Epoch 4/12: Iteration 1400, loss = 3.096442
Epoch 4/12: Iteration 1500, loss = 3.062114
Epoch 4/12: Iteration 1600, loss = 0.095651
Epoch 4/12: Iteration 1700, loss = 0.348387
Epoch 4/12: Iteration 1800, loss = 1.548770
Epoch 4/12: Iteration 1900, loss = 0.906498
Epoch 4/12: Iteration 2000, loss = 2.527477
Epoch 4/12: Iteration 2100, loss = 7.459259
Epoch 4/12: Iteration 2200, loss = 0.413816
Epoch 4/12: Iteration 2300, loss = 1.151036
Epoch 4/12: Iteration 2400, loss = 4.307742
Epoch 4/12: Iteration 2500, loss = 3.604442
Epoch 4/12: Iteration 2600, loss = 1.190618
Epoch 4/12: Iteration 2700, loss = 0.496167
Epoch 4/12: Iteration 2800, loss = 0.187595
Epoch 4/12: Iteration 2900, loss = 0.508103
Epoch 4/12: Iteration 3000, loss = 0.397803
Epoch 4/12: Iteration 3100, loss = 0.350656
Epoch 4/12: Iteration 3200, loss = 9.350884
Epoch 4/12: Iteration 3300, loss = 2.292546
Epoch 4/12: Iteration 3400, loss = 0.405246
Epoch 5/12: Iteration 0, loss = 1.676194
Epoch 5/12: Iteration 100, loss = 1.383222
Epoch 5/12: Iteration 200, loss = 1.640737
Epoch 5/12: Iteration 300, loss = 11.756786
Epoch 5/12: Iteration 400, loss = 0.053227
Epoch 5/12: Iteration 500, loss = 4.793714
Epoch 5/12: Iteration 600, loss = 0.232171
Epoch 5/12: Iteration 700, loss = 1.035843
Epoch 5/12: Iteration 800, loss = 2.887198
Epoch 5/12: Iteration 900, loss = 0.433714
Epoch 5/12: Iteration 1000, loss = 25.875261
Epoch 5/12: Iteration 1100, loss = 0.759536
Epoch 5/12: Iteration 1200, loss = 2.355546
Epoch 5/12: Iteration 1300, loss = 1.813805
Epoch 5/12: Iteration 1400, loss = 1.893201
Epoch 5/12: Iteration 1500, loss = 1.003998
Epoch 5/12: Iteration 1600, loss = 0.089260
Epoch 5/12: Iteration 1700, loss = 0.343080
Epoch 5/12: Iteration 1800, loss = 1.469072
Epoch 5/12: Iteration 1900, loss = 0.837488
Epoch 5/12: Iteration 2000, loss = 0.496589
Epoch 5/12: Iteration 2100, loss = 3.223375
Epoch 5/12: Iteration 2200, loss = 0.646568
Epoch 5/12: Iteration 2300, loss = 0.506942
Epoch 5/12: Iteration 2400, loss = 3.149117
Epoch 5/12: Iteration 2500, loss = 5.434896
Epoch 5/12: Iteration 2600, loss = 3.840389
Epoch 5/12: Iteration 2700, loss = 0.311772
Epoch 5/12: Iteration 2800, loss = 0.482928
Epoch 5/12: Iteration 2900, loss = 1.393084
Epoch 5/12: Iteration 3000, loss = 1.269038
Epoch 5/12: Iteration 3100, loss = 0.498002
Epoch 5/12: Iteration 3200, loss = 10.238031
Epoch 5/12: Iteration 3300, loss = 1.936105
Epoch 5/12: Iteration 3400, loss = 0.271856
Save model ./model_ckpt/model_epoch5.pth
Epoch 6/12: Iteration 0, loss = 0.945997
Epoch 6/12: Iteration 100, loss = 1.197782
Epoch 6/12: Iteration 200, loss = 1.124131
Epoch 6/12: Iteration 300, loss = 11.460270
Epoch 6/12: Iteration 400, loss = 0.035428
Epoch 6/12: Iteration 500, loss = 7.400022
Epoch 6/12: Iteration 600, loss = 0.127027
Epoch 6/12: Iteration 700, loss = 1.017890
Epoch 6/12: Iteration 800, loss = 3.174855
Epoch 6/12: Iteration 900, loss = 0.656085
Epoch 6/12: Iteration 1000, loss = 32.003082
Epoch 6/12: Iteration 1100, loss = 0.504337
Epoch 6/12: Iteration 1200, loss = 2.261003
Epoch 6/12: Iteration 1300, loss = 1.480618
Epoch 6/12: Iteration 1400, loss = 1.070704
Epoch 6/12: Iteration 1500, loss = 0.940688
Epoch 6/12: Iteration 1600, loss = 0.066207
Epoch 6/12: Iteration 1700, loss = 0.352437
Epoch 6/12: Iteration 1800, loss = 1.348979
Epoch 6/12: Iteration 1900, loss = 0.764093
Epoch 6/12: Iteration 2000, loss = 0.442426
Epoch 6/12: Iteration 2100, loss = 0.699784
Epoch 6/12: Iteration 2200, loss = 0.403747
Epoch 6/12: Iteration 2300, loss = 0.440444
Epoch 6/12: Iteration 2400, loss = 2.546188
Epoch 6/12: Iteration 2500, loss = 5.197138
Epoch 6/12: Iteration 2600, loss = 4.333564
Epoch 6/12: Iteration 2700, loss = 0.218020
Epoch 6/12: Iteration 2800, loss = 0.394085
Epoch 6/12: Iteration 2900, loss = 1.382375
Epoch 6/12: Iteration 3000, loss = 1.023475
Epoch 6/12: Iteration 3100, loss = 0.505517
Epoch 6/12: Iteration 3200, loss = 10.257832
Epoch 6/12: Iteration 3300, loss = 1.283803
Epoch 6/12: Iteration 3400, loss = 0.269976
Epoch 7/12: Iteration 0, loss = 0.806300
Epoch 7/12: Iteration 100, loss = 1.543430
Epoch 7/12: Iteration 200, loss = 1.018915
Epoch 7/12: Iteration 300, loss = 8.603924
Epoch 7/12: Iteration 400, loss = 0.058735
Epoch 7/12: Iteration 500, loss = 6.111588
Epoch 7/12: Iteration 600, loss = 0.080088
Epoch 7/12: Iteration 700, loss = 0.953599
Epoch 7/12: Iteration 800, loss = 4.001698
Epoch 7/12: Iteration 900, loss = 0.735966
Epoch 7/12: Iteration 1000, loss = 34.518776
Epoch 7/12: Iteration 1100, loss = 0.343785
Epoch 7/12: Iteration 1200, loss = 2.112399
Epoch 7/12: Iteration 1300, loss = 1.555414
Epoch 7/12: Iteration 1400, loss = 0.671501
Epoch 7/12: Iteration 1500, loss = 1.001463
Epoch 7/12: Iteration 1600, loss = 0.055519
Epoch 7/12: Iteration 1700, loss = 0.230650
Epoch 7/12: Iteration 1800, loss = 1.385599
Epoch 7/12: Iteration 1900, loss = 0.665066
Epoch 7/12: Iteration 2000, loss = 0.557457
Epoch 7/12: Iteration 2100, loss = 0.851541
Epoch 7/12: Iteration 2200, loss = 0.420112
Epoch 7/12: Iteration 2300, loss = 0.467938
Epoch 7/12: Iteration 2400, loss = 1.644043
Epoch 7/12: Iteration 2500, loss = 4.822168
Epoch 7/12: Iteration 2600, loss = 3.749291
Epoch 7/12: Iteration 2700, loss = 0.179165
Epoch 7/12: Iteration 2800, loss = 0.390831
Epoch 7/12: Iteration 2900, loss = 1.111665
Epoch 7/12: Iteration 3000, loss = 0.984167
Epoch 7/12: Iteration 3100, loss = 0.478948
Epoch 7/12: Iteration 3200, loss = 10.192022
Epoch 7/12: Iteration 3300, loss = 0.903951
Epoch 7/12: Iteration 3400, loss = 0.276819
Epoch 8/12: Iteration 0, loss = 0.768992
Epoch 8/12: Iteration 100, loss = 1.632044
Epoch 8/12: Iteration 200, loss = 1.057092
Epoch 8/12: Iteration 300, loss = 7.311721
Epoch 8/12: Iteration 400, loss = 0.053571
Epoch 8/12: Iteration 500, loss = 5.668039
Epoch 8/12: Iteration 600, loss = 0.086287
Epoch 8/12: Iteration 700, loss = 1.034911
Epoch 8/12: Iteration 800, loss = 3.697172
Epoch 8/12: Iteration 900, loss = 0.563991
Epoch 8/12: Iteration 1000, loss = 35.897705
Epoch 8/12: Iteration 1100, loss = 0.247283
Epoch 8/12: Iteration 1200, loss = 2.197119
Epoch 8/12: Iteration 1300, loss = 1.535591
Epoch 8/12: Iteration 1400, loss = 0.424824
Epoch 8/12: Iteration 1500, loss = 0.682035
Epoch 8/12: Iteration 1600, loss = 0.056236
Epoch 8/12: Iteration 1700, loss = 0.249997
Epoch 8/12: Iteration 1800, loss = 1.425109
Epoch 8/12: Iteration 1900, loss = 0.754667
Epoch 8/12: Iteration 2000, loss = 0.879146
Epoch 8/12: Iteration 2100, loss = 1.499517
Epoch 8/12: Iteration 2200, loss = 0.360426
Epoch 8/12: Iteration 2300, loss = 0.487784
Epoch 8/12: Iteration 2400, loss = 1.473250
Epoch 8/12: Iteration 2500, loss = 5.214350
Epoch 8/12: Iteration 2600, loss = 3.853739
Epoch 8/12: Iteration 2700, loss = 0.220334
Epoch 8/12: Iteration 2800, loss = 0.484466
Epoch 8/12: Iteration 2900, loss = 0.844708
Epoch 8/12: Iteration 3000, loss = 0.976402
Epoch 8/12: Iteration 3100, loss = 0.422866
Epoch 8/12: Iteration 3200, loss = 11.489038
Epoch 8/12: Iteration 3300, loss = 1.186899
Epoch 8/12: Iteration 3400, loss = 0.295482
Epoch 9/12: Iteration 0, loss = 0.592963
Epoch 9/12: Iteration 100, loss = 0.247549
Epoch 9/12: Iteration 200, loss = 1.021466
Epoch 9/12: Iteration 300, loss = 5.175196
Epoch 9/12: Iteration 400, loss = 0.057151
Epoch 9/12: Iteration 500, loss = 4.908930
Epoch 9/12: Iteration 600, loss = 0.065866
